text,primary_emotion,secondary_emotion
I want to learn beyond my syllabus in Cyber Security while attending lectures however i feel bored while studying cyber security while attending lectures.,Curious,Bored
I am unable to understand Machine Learning while practicing coding.,Confused,
I want to learn real-world applications of CSS while practicing coding.,Curious,
I keep forgetting the concepts of Blockchain while reading textbooks.,Confused,
I enjoy exploring new ideas in Compiler Design while completing homework.,Curious,
I don't feel excited about Blockchain while reading textbooks because i cannot complete my blockchain assignment while reading textbooks.,Bored,Frustrated
I cannot complete my Physics assignment while solving previous papers.,Frustrated,
I enjoy solving difficult problems in Linux while practicing coding although i find linux repetitive while practicing coding.,Curious,Bored
I enjoy helping others understand CSS while attending lectures.,Confident,
I don't understand the syntax of Deep Learning while solving assignments.,Confused,
I am tired of debugging Azure while reading textbooks.,Frustrated,
I don't know where I am making mistakes in Cyber Security during online classes.,Confused,
I don't know how to solve Machine Learning while attending lectures because i don't know why machine learning is so difficult while attending lectures.,Confused,Frustrated
I am unable to understand Flutter while studying late at night.,Confused,
I keep getting errors while learning Computer Vision while debugging.,Frustrated,
I enjoy experimenting with Data Structures while reading textbooks but i keep getting distracted during data structures while reading textbooks.,Curious,Bored
I enjoy asking questions about Operating Systems while solving assignments.,Curious,
I am confident in C++ while reading textbooks.,Confident,
I feel mentally tired because of SQL during lab sessions.,Frustrated,
I want to build projects using C while solving previous papers because i can teach c to my friends while solving previous papers.,Curious,Confident
I want to build projects using Cloud Computing while solving assignments at the same time i am unable to understand cloud computing while solving assignments.,Curious,Confused
I enjoy exploring new ideas in Chemistry during lab sessions.,Curious,
I don't understand why my solution is wrong in Discrete Mathematics while debugging and i spent hours studying discrete mathematics but still failed while debugging.,Confused,Frustrated
I practice Machine Learning every day while preparing notes.,Confident,
I can solve difficult Compiler Design questions while solving assignments at the same time i cannot finish my project using compiler design while solving assignments.,Confident,Frustrated
I completed my React assignment successfully while solving assignments.,Confident,
I feel exhausted attending AWS lectures during lab sessions.,Bored,
I feel mentally tired because of Biology before exams while i enjoy helping others understand biology before exams.,Frustrated,Confident
I feel exhausted attending MongoDB lectures while solving assignments.,Bored,
I keep asking questions because C++ confuses me during lab sessions.,Confused,
I want to become an expert in Physics while preparing for interviews.,Curious,
I don't like solving Streamlit problems anymore while writing code.,Bored,
I don't enjoy practicing React before exams.,Bored,
I feel disappointed with my performance in Ethical Hacking while preparing notes.,Frustrated,
I cannot solve even simple problems in Data Science while completing homework.,Frustrated,
I keep getting errors while learning Artificial Intelligence while practicing coding.,Frustrated,
I am interested in advanced AWS concepts during lab sessions.,Curious,
I don't know why NLP is so difficult while debugging.,Frustrated,
I don't understand why my solution is wrong in React while building projects while i am frustrated with react while building projects.,Confused,Frustrated
I feel prepared for my NLP exam while solving previous papers.,Confident,
I don't understand why my solution is wrong in Algorithms while completing homework.,Confused,
I am interested in advanced Android Development concepts during online classes.,Curious,
I lose interest in IoT while building projects and i don't know where i am making mistakes in iot while building projects.,Bored,Confused
I enjoy experimenting with Data Structures while solving previous papers.,Curious,
I want to learn real-world applications of SQL while preparing notes at the same time i don't understand sql while preparing notes.,Curious,Confused
I can debug Blockchain programs easily while preparing notes.,Confident,
I want to learn real-world applications of IoT during online classes yet i understand iot very well during online classes.,Curious,Confident
I solved all the problems in Biology while attending lectures.,Confident,
I love reading about Physics while preparing for interviews at the same time i am unable to understand physics while preparing for interviews.,Curious,Confused
I feel prepared for my Physics exam while writing code however i am interested in advanced physics concepts while writing code.,Confident,Curious
I don't enjoy learning Ethical Hacking anymore while studying late at night.,Bored,
I can complete Node.js tasks without help while reading textbooks.,Confident,
I am confident in Calculus while attending lectures.,Confident,
I enjoy solving difficult problems in Android Development during lab sessions.,Curious,
I postpone studying Physics because it feels boring while studying late at night even though i am stressed because of physics while studying late at night.,Bored,Frustrated
I find GitHub extremely difficult while reading textbooks while i want to master github while reading textbooks.,Confused,Curious
I feel lazy whenever I open C while solving assignments.,Bored,
I enjoy experimenting with Calculus while attending lectures.,Curious,
I love reading about Computer Architecture while solving assignments while i wish computer architecture was more interesting while solving assignments.,Curious,Bored
I don't enjoy practicing Mathematics while preparing for interviews.,Bored,
I hate working on C while practicing coding because i can complete c tasks without help while practicing coding.,Frustrated,Confident
I cannot understand the examples of Discrete Mathematics while completing homework but i am tired of debugging discrete mathematics while completing homework.,Confused,Frustrated
I like discovering new topics in C while writing code.,Curious,
I don't enjoy learning Biology anymore while debugging.,Bored,
I get bored reading IoT books while practicing coding.,Bored,
I don't know which approach to use in Linear Algebra while solving previous papers.,Confused,
I don't understand the syntax of Digital Electronics during online classes.,Confused,
I keep asking questions because NLP confuses me while studying late at night at the same time i cannot complete my nlp assignment while studying late at night.,Confused,Frustrated
I enjoy learning Data Structures while attending lectures.,Curious,
I don't know where I am making mistakes in Calculus during lab sessions.,Confused,
I enjoy helping others understand IoT while solving assignments while i feel overwhelmed while studying iot while solving assignments.,Confident,Frustrated
I don't know how to solve AWS while studying late at night.,Confused,
I am excited to study React during online classes.,Curious,
I am improving continuously in Data Structures during lab sessions.,Confident,
I want to become an expert in Data Structures while preparing for interviews although i don't feel motivated to study data structures while preparing for interviews.,Curious,Bored
I feel bored while studying C while practicing coding and i spent hours studying c but still failed while practicing coding.,Bored,Frustrated
I want to learn real-world applications of Computer Networks while debugging.,Curious,
I enjoy experimenting with C while reading textbooks.,Curious,
I worked very hard but still don't understand Data Structures while writing code.,Frustrated,
I lose interest in SQL during online classes at the same time i cannot complete my sql assignment during online classes.,Bored,Frustrated
I am confused about MySQL while practicing coding.,Confused,
I cannot understand the logic behind CSS while reading textbooks while i am excited to study css while reading textbooks.,Confused,Curious
I can complete Digital Electronics tasks without help while solving previous papers yet i enjoy learning digital electronics while solving previous papers.,Confident,Curious
I can complete Android Development tasks without help while solving previous papers.,Confident,
I cannot concentrate while learning GitHub while writing code.,Bored,
I cannot concentrate while learning Linear Algebra while writing code because i am unable to understand linear algebra while writing code.,Bored,Confused
I cannot differentiate the concepts in Ethical Hacking while studying late at night.,Confused,
I read the topic many times but still don't understand Streamlit while debugging.,Confused,
I keep getting distracted during Azure while solving previous papers because i am stressed because of azure while solving previous papers.,Bored,Frustrated
I am interested in advanced Python concepts during online classes while i read the topic many times but still don't understand python during online classes.,Curious,Confused
I find SQL repetitive while debugging although i feel mentally tired because of sql while debugging.,Bored,Frustrated
I spent hours studying C but still failed while solving assignments.,Frustrated,
I am improving continuously in JavaScript during online classes.,Confident,
I want to know more about MySQL while attending lectures however i don't understand the syntax of mysql while attending lectures.,Curious,Confused
I enjoy solving difficult problems in Data Structures while preparing for interviews yet i can complete data structures tasks without help while preparing for interviews.,Curious,Confident
I want to build projects using Docker while reading textbooks.,Curious,
I feel prepared for my React exam while building projects.,Confident,
I enjoy solving difficult problems in Computer Networks while solving previous papers.,Curious,
I don't know how to solve C++ before exams.,Confused,
I enjoy asking questions about IoT before exams although i feel comfortable learning iot before exams.,Curious,Confident
I am unable to understand Biology while studying late at night.,Confused,
I find GitHub repetitive while attending lectures however i spent hours studying github but still failed while attending lectures.,Bored,Frustrated
I keep making the same mistakes in Linux before exams.,Frustrated,
I solved all the problems in NLP before exams.,Confident,
I keep forgetting the concepts of IoT while building projects.,Confused,
I cannot stay engaged while learning Biology while studying late at night.,Bored,
I always fail in Deep Learning during online classes.,Frustrated,
I enjoy experimenting with Operating Systems while reading textbooks but i feel bored while studying operating systems while reading textbooks.,Curious,Bored
I am confused about Statistics while writing code.,Confused,
I don't know which approach to use in SQL while debugging.,Confused,
I want to build projects using Compiler Design during lab sessions.,Curious,
I keep asking questions because Calculus confuses me while solving assignments even though i like discovering new topics in calculus while solving assignments.,Confused,Curious
I don't know how to start learning Computer Architecture during online classes.,Confused,
I cannot understand the logic behind Flutter while reading textbooks.,Confused,
I keep making the same mistakes in Compiler Design while writing code.,Frustrated,
I want to participate in competitions related to JavaScript while preparing notes.,Curious,
I don't understand why my solution is wrong in Data Structures while solving previous papers.,Confused,
I can complete Computer Networks tasks without help while practicing coding.,Confident,
I want to become an expert in GitHub before exams and i enjoy helping others understand github before exams.,Curious,Confident
I want to improve my knowledge in Data Science while completing homework.,Curious,
I get bored reading MySQL books while completing homework.,Bored,
I wish Biology was more interesting while practicing coding yet i get confused every time i practice biology while practicing coding.,Bored,Confused
I want to learn real-world applications of Data Science while reading textbooks.,Curious,
I don't feel excited about MySQL while reading textbooks.,Bored,
I can debug C++ programs easily while attending lectures even though i enjoy solving difficult problems in c++ while attending lectures.,Confident,Curious
I hate working on Digital Electronics while solving assignments although i can solve difficult digital electronics questions while solving assignments.,Frustrated,Confident
I enjoy solving advanced Linux problems during online classes.,Confident,
I want to learn beyond my syllabus in Statistics while building projects however i feel sleepy while studying statistics while building projects.,Curious,Bored
I built a complete application using Cloud Computing while studying late at night.,Confident,
I find Chemistry extremely difficult while solving previous papers.,Confused,
I can teach Streamlit to my friends during online classes even though i feel disappointed with my performance in streamlit during online classes.,Confident,Frustrated
I keep forgetting the concepts of React while solving assignments.,Confused,
I keep getting confused whenever I study Streamlit while solving previous papers.,Confused,
I don't enjoy learning JavaScript anymore while solving previous papers.,Bored,
I don't know why Calculus is so difficult while studying late at night.,Frustrated,
I solved all the problems in Computer Architecture while writing code.,Confident,
I don't feel excited about Compiler Design during online classes.,Bored,
I want to participate in competitions related to Blockchain before exams and i read the topic many times but still don't understand blockchain before exams.,Curious,Confused
I am improving continuously in Computer Networks while building projects yet i am tired of debugging computer networks while building projects.,Confident,Frustrated
I cannot complete my Streamlit assignment during online classes.,Frustrated,
I feel like giving up on Chemistry while studying late at night.,Frustrated,
I can complete GitHub tasks without help while completing homework.,Confident,
I believe I have mastered Mathematics while attending lectures.,Confident,
I spent hours studying Data Structures but still failed while reading textbooks.,Frustrated,
I like discovering new topics in Linear Algebra while reading textbooks while i don't enjoy practicing linear algebra while reading textbooks.,Curious,Bored
I enjoy learning Azure while completing homework.,Curious,
I find Data Science extremely difficult while reading textbooks.,Confused,
I want to become an expert in Flutter while preparing for interviews.,Curious,
I enjoy solving advanced Kubernetes problems while completing homework although i feel disappointed with my performance in kubernetes while completing homework.,Confident,Frustrated
I lose my attention quickly in Cyber Security while debugging yet i feel like giving up on cyber security while debugging.,Bored,Frustrated
I cannot complete my Statistics assignment while completing homework even though i am confident in statistics while completing homework.,Frustrated,Confident
I find Artificial Intelligence repetitive while reading textbooks.,Bored,
I can teach Node.js to my friends while studying late at night.,Confident,
I cannot complete my Digital Electronics assignment while solving assignments while i built a complete application using digital electronics while solving assignments.,Frustrated,Confident
I enjoy helping others understand HTML before exams.,Confident,
I enjoy asking questions about Ethical Hacking while solving previous papers although i don't understand ethical hacking while solving previous papers.,Curious,Confused
I can solve difficult Azure questions while preparing notes even though i want to build projects using azure while preparing notes.,Confident,Curious
I believe I have mastered MongoDB while preparing notes but i want to master mongodb while preparing notes.,Confident,Curious
I feel lazy whenever I open Kubernetes while reading textbooks while i cannot finish my project using kubernetes while reading textbooks.,Bored,Frustrated
I want to learn beyond my syllabus in Machine Learning while building projects.,Curious,
I cannot stay focused during Linux during online classes.,Bored,
I can solve difficult Physics questions while writing code at the same time i am excited to study physics while writing code.,Confident,Curious
I don't know which approach to use in Streamlit while studying late at night.,Confused,
I understand AWS very well while studying late at night.,Confident,
I keep getting confused whenever I study C++ while preparing notes.,Confused,
I am improving continuously in SQL while debugging.,Confident,
I feel like giving up on Git while solving previous papers.,Frustrated,
I solved all the problems in Compiler Design before exams.,Confident,
I don't know why Biology is so difficult while reading textbooks yet i can teach biology to my friends while reading textbooks.,Frustrated,Confident
I want to build projects using Discrete Mathematics during online classes at the same time i am improving continuously in discrete mathematics during online classes.,Curious,Confident
I am tired of debugging Digital Electronics while preparing notes while i completed my project using digital electronics successfully while preparing notes.,Frustrated,Confident
I enjoy helping others understand C while attending lectures but i am frustrated with c while attending lectures.,Confident,Frustrated
I am not interested in Data Science anymore while attending lectures.,Bored,
I postpone studying Kubernetes because it feels boring before exams yet i don't understand why my solution is wrong in kubernetes before exams.,Bored,Confused
I can answer any question related to Operating Systems while practicing coding.,Confident,
I want to understand every concept of NLP while studying late at night.,Curious,
I don't know why MongoDB is so difficult while completing homework and i feel prepared for my mongodb exam while completing homework.,Frustrated,Confident
I completed my MySQL assignment successfully while solving assignments.,Confident,
I can answer any question related to Statistics while writing code because i feel like giving up on statistics while writing code.,Confident,Frustrated
I want to know more about Linux while solving previous papers but i find linux repetitive while solving previous papers.,Curious,Bored
I cannot differentiate the concepts in Cloud Computing while solving assignments but i like discovering new topics in cloud computing while solving assignments.,Confused,Curious
I love reading about Docker while solving previous papers.,Curious,
I love reading about Statistics while practicing coding.,Curious,
I am confused about Biology while attending lectures.,Confused,
I want to build innovative solutions using Flutter while preparing for interviews.,Curious,
I want to become an expert in Python while writing code because i feel bored while studying python while writing code.,Curious,Bored
I am tired of debugging Physics during lab sessions while i feel prepared for my physics exam during lab sessions.,Frustrated,Confident
I cannot complete my MySQL assignment while reading textbooks.,Frustrated,
I practice C++ every day while preparing for interviews.,Confident,
I am exhausted after practicing C during online classes.,Frustrated,
I want to understand every concept of Digital Electronics during lab sessions.,Curious,
I enjoy learning Computer Vision while solving assignments even though i cannot concentrate while learning computer vision while solving assignments.,Curious,Bored
I want to become an expert in Software Engineering during online classes.,Curious,
I am improving continuously in MySQL while preparing notes because i want to explore research in mysql while preparing notes.,Confident,Curious
I feel disappointed with my performance in Kubernetes while building projects.,Frustrated,
I want to participate in competitions related to Machine Learning while studying late at night.,Curious,
I get bored reading Calculus books while attending lectures and i lose confidence every time i study calculus while attending lectures.,Bored,Frustrated
I keep making the same mistakes in Data Science while writing code but i believe i have mastered data science while writing code.,Frustrated,Confident
I completed my Statistics assignment successfully while practicing coding yet i cannot finish my project using statistics while practicing coding.,Confident,Frustrated
I want to build innovative solutions using Docker during online classes.,Curious,
I scored excellent marks in Kubernetes while practicing coding.,Confident,
I cannot understand the examples of Computer Vision during online classes however i keep failing while practicing computer vision during online classes.,Confused,Frustrated
I cannot stay focused during Mathematics while completing homework while i feel completely lost while studying mathematics while completing homework.,Bored,Confused
I want to learn real-world applications of Software Engineering while studying late at night while i keep getting confused whenever i study software engineering while studying late at night.,Curious,Confused
I keep asking questions because MySQL confuses me during online classes.,Confused,
I built a complete application using MySQL while preparing notes.,Confident,
I want to know more about Android Development while debugging.,Curious,
I cannot concentrate while learning Physics while reading textbooks even though i lose confidence every time i study physics while reading textbooks.,Bored,Frustrated
I lose interest in JavaScript while writing code however i don't know where i am making mistakes in javascript while writing code.,Bored,Confused
I always fail in Ethical Hacking while reading textbooks.,Frustrated,
I cannot concentrate while learning Linear Algebra while attending lectures but i spent hours studying linear algebra but still failed while attending lectures.,Bored,Frustrated
I solved all the problems in Biology while debugging.,Confident,
I feel sleepy while studying AWS while attending lectures.,Bored,
I solved all the problems in JavaScript while building projects however i want to build projects using javascript while building projects.,Confident,Curious
I wish Machine Learning was more interesting while debugging.,Bored,
I spent hours studying Physics but still failed while preparing for interviews.,Frustrated,
I want to master MongoDB before exams.,Curious,
I read the topic many times but still don't understand MySQL while preparing notes.,Confused,
I can complete Digital Electronics tasks without help while practicing coding although i worked very hard but still don't understand digital electronics while practicing coding.,Confident,Frustrated
I built a complete application using Ethical Hacking while reading textbooks.,Confident,
I don't know how to solve Deep Learning while solving assignments.,Confused,
I read the topic many times but still don't understand Machine Learning while practicing coding and i am tired of debugging machine learning while practicing coding.,Confused,Frustrated
I love reading about Mathematics while building projects.,Curious,
I practice Java every day before exams.,Confident,
I don't know where I am making mistakes in Algorithms while building projects.,Confused,
I feel mentally tired because of C++ while writing code.,Frustrated,
I don't enjoy learning Flutter anymore while attending lectures.,Bored,
I like discovering new topics in Algorithms while solving previous papers yet i don't feel excited about algorithms while solving previous papers.,Curious,Bored
I solved all coding challenges in Chemistry while solving assignments yet i hate working on chemistry while solving assignments.,Confident,Frustrated
I enjoy solving difficult problems in Git while reading textbooks.,Curious,
I cannot understand the examples of Computer Vision while reading textbooks.,Confused,
I can answer any question related to Ethical Hacking during lab sessions but i feel like giving up on ethical hacking during lab sessions.,Confident,Frustrated
I believe I have mastered DBMS while building projects because i enjoy exploring new ideas in dbms while building projects.,Confident,Curious
I cannot finish my project using GitHub while debugging.,Frustrated,
I enjoy solving difficult problems in MySQL during online classes.,Curious,
I am improving continuously in Computer Vision while debugging.,Confident,
I am not interested in CSS anymore while preparing notes.,Bored,
I cannot finish my project using Ethical Hacking while writing code.,Frustrated,
I am tired of debugging C++ while reading textbooks.,Frustrated,
I don't enjoy learning Algorithms anymore while solving assignments.,Bored,
I scored excellent marks in Ethical Hacking while completing homework.,Confident,
I don't enjoy learning MySQL anymore while studying late at night and i keep getting errors while learning mysql while studying late at night.,Bored,Frustrated
I don't know where I am making mistakes in Flutter while studying late at night.,Confused,
I lose confidence every time I study Mathematics while reading textbooks.,Frustrated,
I enjoy experimenting with Linear Algebra while writing code.,Curious,
I am confused about Algorithms while solving previous papers.,Confused,
I can solve difficult DBMS questions while solving assignments.,Confident,
I built a complete application using Computer Vision while practicing coding.,Confident,
I enjoy solving difficult problems in Artificial Intelligence while studying late at night.,Curious,
I enjoy asking questions about Biology while completing homework while i keep forgetting the concepts of biology while completing homework.,Curious,Confused
I don't know which approach to use in DBMS while solving assignments and i like discovering new topics in dbms while solving assignments.,Confused,Curious
I want to build projects using AWS while completing homework.,Curious,
I don't feel motivated to study C++ while studying late at night.,Bored,
I keep getting confused whenever I study MySQL while preparing for interviews.,Confused,
I don't know why Streamlit is so difficult while preparing for interviews while i scored excellent marks in streamlit while preparing for interviews.,Frustrated,Confident
I get confused every time I practice Discrete Mathematics while building projects even though i want to learn real-world applications of discrete mathematics while building projects.,Confused,Curious
I keep getting errors while learning Java during lab sessions.,Frustrated,
I don't feel motivated to study Physics while preparing for interviews at the same time i cannot finish my project using physics while preparing for interviews.,Bored,Frustrated
I like discovering new topics in Android Development while attending lectures but i feel comfortable learning android development while attending lectures.,Curious,Confident
I don't feel motivated to study Computer Networks while solving assignments however i always fail in computer networks while solving assignments.,Bored,Frustrated
I understand JavaScript very well while building projects but i want to build innovative solutions using javascript while building projects.,Confident,Curious
I am improving continuously in Python while preparing for interviews even though i want to participate in competitions related to python while preparing for interviews.,Confident,Curious
I don't know how to solve GitHub while building projects.,Confused,
I keep getting distracted during Blockchain while solving assignments.,Bored,
I feel disappointed with my performance in Python while attending lectures.,Frustrated,
I completed my project using Statistics successfully while completing homework.,Confident,
I want to know more about HTML while writing code.,Curious,
I want to build projects using React while writing code.,Curious,
I always get confused between similar topics in Azure while building projects but i am tired of debugging azure while building projects.,Confused,Frustrated
I completed my project using Mathematics successfully while debugging even though i want to improve my knowledge in mathematics while debugging.,Confident,Curious
I want to master Mathematics while practicing coding and i enjoy helping others understand mathematics while practicing coding.,Curious,Confident
I feel bored while studying HTML while practicing coding.,Bored,
I can complete NLP tasks without help while reading textbooks.,Confident,
I can answer any question related to CSS while practicing coding.,Confident,
I am tired of debugging MySQL while debugging.,Frustrated,
I want to master Physics while preparing notes.,Curious,
I can answer any question related to AWS while attending lectures.,Confident,
I like discovering new topics in Data Science while preparing for interviews.,Curious,
I want to improve my knowledge in Data Science while writing code.,Curious,
I don't understand why my solution is wrong in Computer Vision while studying late at night.,Confused,
I completed my project using Biology successfully before exams.,Confident,
I enjoy solving difficult problems in AWS while debugging while i don't know how to start learning aws while debugging.,Curious,Confused
I find Data Science repetitive while preparing for interviews.,Bored,
I am interested in advanced Python concepts while attending lectures while i enjoy helping others understand python while attending lectures.,Curious,Confident
I am exhausted after practicing MongoDB while building projects however i enjoy solving advanced mongodb problems while building projects.,Frustrated,Confident
I don't enjoy learning Deep Learning anymore while preparing for interviews at the same time i keep getting errors while learning deep learning while preparing for interviews.,Bored,Frustrated
I lose my attention quickly in Algorithms while studying late at night.,Bored,
I cannot understand the examples of C while solving assignments.,Confused,
I cannot understand the examples of Artificial Intelligence while solving assignments.,Confused,
I enjoy exploring new ideas in Blockchain during lab sessions because i cannot stay engaged while learning blockchain during lab sessions.,Curious,Bored
I don't understand why my solution is wrong in Docker while solving previous papers.,Confused,
I cannot concentrate while learning Python before exams although i cannot solve even simple problems in python before exams.,Bored,Frustrated
I don't understand the syntax of Data Science before exams.,Confused,
I feel bored while studying Node.js while studying late at night.,Bored,
I don't enjoy learning Git anymore while practicing coding.,Bored,
I lose confidence every time I study NLP while reading textbooks.,Frustrated,
I am stressed because of Calculus while studying late at night although i can solve difficult calculus questions while studying late at night.,Frustrated,Confident
I keep getting distracted during Discrete Mathematics during lab sessions.,Bored,
I don't understand Compiler Design while completing homework.,Confused,
I feel exhausted attending Cyber Security lectures while completing homework while i don't understand the syntax of cyber security while completing homework.,Bored,Confused
I feel lazy whenever I open MySQL while writing code however i don't know why mysql is so difficult while writing code.,Bored,Frustrated
I am frustrated with Deep Learning while reading textbooks.,Frustrated,
I completed my AWS assignment successfully before exams.,Confident,
I enjoy exploring new ideas in Git before exams.,Curious,
I get bored reading Docker books while solving assignments although i am tired of debugging docker while solving assignments.,Bored,Frustrated
I always get confused between similar topics in MySQL while preparing for interviews because i am frustrated with mysql while preparing for interviews.,Confused,Frustrated
I don't feel motivated to study Discrete Mathematics while preparing notes.,Bored,
I cannot stay engaged while learning JavaScript while completing homework.,Bored,
I am excited to study Java while completing homework however i don't understand java while completing homework.,Curious,Confused
I solved all the problems in AWS while writing code.,Confident,
I feel sleepy while studying Computer Networks while reading textbooks at the same time i am frustrated with computer networks while reading textbooks.,Bored,Frustrated
I keep failing while practicing Azure while building projects.,Frustrated,
I spent hours studying Cyber Security but still failed while attending lectures.,Frustrated,
I want to master Digital Electronics while debugging because i feel prepared for my digital electronics exam while debugging.,Curious,Confident
I am confident in Algorithms while solving assignments while i spent hours studying algorithms but still failed while solving assignments.,Confident,Frustrated
I keep forgetting the concepts of Digital Electronics while solving previous papers.,Confused,
I am stressed because of Cyber Security while debugging.,Frustrated,
I want to build projects using Android Development while completing homework.,Curious,
I don't like solving Artificial Intelligence problems anymore before exams.,Bored,
I want to learn real-world applications of Calculus while preparing notes although i cannot stay engaged while learning calculus while preparing notes.,Curious,Bored
I want to know more about Node.js while writing code.,Curious,
I want to become an expert in Java while reading textbooks however i wish java was more interesting while reading textbooks.,Curious,Bored
I built a complete application using Biology while studying late at night.,Confident,
I practice Kubernetes every day while preparing for interviews.,Confident,
I can debug Azure programs easily while attending lectures even though i love reading about azure while attending lectures.,Confident,Curious
I read the topic many times but still don't understand Docker while studying late at night.,Confused,
I wish Kubernetes was more interesting while attending lectures.,Bored,
I understand IoT very well while preparing for interviews.,Confident,
I feel lazy whenever I open Software Engineering while building projects although i am unable to understand software engineering while building projects.,Bored,Confused
I feel exhausted attending Cyber Security lectures while solving previous papers.,Bored,
I keep getting distracted during Software Engineering while building projects at the same time i don't know how to start learning software engineering while building projects.,Bored,Confused
I keep failing while practicing Kubernetes while preparing for interviews.,Frustrated,
I cannot stay engaged while learning C++ while completing homework but i am tired of debugging c++ while completing homework.,Bored,Frustrated
I keep making the same mistakes in Deep Learning while building projects.,Frustrated,
I feel overwhelmed while studying Biology while preparing for interviews.,Frustrated,
I find Computer Networks extremely difficult while writing code.,Confused,
I am not interested in Streamlit anymore while building projects.,Bored,
I don't know how to solve Artificial Intelligence while solving previous papers.,Confused,
I believe I have mastered Cloud Computing while attending lectures.,Confident,
I lose my attention quickly in Computer Vision before exams.,Bored,
I feel mentally tired because of Chemistry while writing code.,Frustrated,
I keep getting confused whenever I study Streamlit before exams.,Confused,
I can complete Blockchain tasks without help while reading textbooks.,Confident,
I cannot understand the logic behind C++ before exams.,Confused,
I feel bored while studying Python while attending lectures because i keep failing while practicing python while attending lectures.,Bored,Frustrated
I cannot understand the examples of Ethical Hacking while practicing coding.,Confused,
I completed my Software Engineering assignment successfully while solving assignments and i lose confidence every time i study software engineering while solving assignments.,Confident,Frustrated
I like discovering new topics in C++ while solving assignments.,Curious,
I want to build innovative solutions using Azure before exams.,Curious,
I feel overwhelmed while studying Node.js while preparing notes.,Frustrated,
I am not interested in NLP anymore while reading textbooks.,Bored,
I feel prepared for my Kubernetes exam during lab sessions.,Confident,
I want to know more about Android Development while preparing notes.,Curious,
I don't know where I am making mistakes in IoT while attending lectures.,Confused,
I don't feel motivated to study Machine Learning during online classes.,Bored,
I feel like giving up on Node.js while debugging.,Frustrated,
I keep getting confused whenever I study Compiler Design while completing homework at the same time i want to become an expert in compiler design while completing homework.,Confused,Curious
I completed my AWS assignment successfully while writing code yet i cannot solve even simple problems in aws while writing code.,Confident,Frustrated
I feel mentally tired because of Python before exams.,Frustrated,
I keep forgetting the concepts of Linear Algebra before exams.,Confused,
I cannot differentiate the concepts in Computer Architecture while completing homework.,Confused,
I cannot understand the examples of Docker while solving previous papers.,Confused,
I feel bored while studying AWS during online classes.,Bored,
I keep making the same mistakes in DBMS while studying late at night.,Frustrated,
I scored excellent marks in Flutter while solving assignments.,Confident,
I feel prepared for my Chemistry exam during lab sessions.,Confident,
I want to improve my knowledge in Linear Algebra while debugging.,Curious,
I want to explore research in GitHub while attending lectures.,Curious,
I cannot complete my Cloud Computing assignment while preparing for interviews while i completed my project using cloud computing successfully while preparing for interviews.,Frustrated,Confident
I keep making the same mistakes in JavaScript while practicing coding.,Frustrated,
I solved all coding challenges in Cloud Computing while debugging.,Confident,
I don't know how to start learning Biology while completing homework because i don't know why biology is so difficult while completing homework.,Confused,Frustrated
I don't know how to start learning CSS before exams.,Confused,
I get confused every time I practice Computer Networks while debugging at the same time i cannot finish my project using computer networks while debugging.,Confused,Frustrated
I lose confidence every time I study Data Structures while solving previous papers and i built a complete application using data structures while solving previous papers.,Frustrated,Confident
I built a complete application using Machine Learning while building projects.,Confident,
I understand Algorithms very well while studying late at night.,Confident,
I keep failing while practicing Operating Systems while reading textbooks even though i solved all the problems in operating systems while reading textbooks.,Frustrated,Confident
I feel mentally tired because of CSS while building projects.,Frustrated,
I hate working on Discrete Mathematics while practicing coding.,Frustrated,
I want to understand every concept of Ethical Hacking while attending lectures yet i enjoy solving advanced ethical hacking problems while attending lectures.,Curious,Confident
I keep getting distracted during Computer Networks while preparing for interviews.,Bored,
I don't know which approach to use in Statistics while debugging however i enjoy solving difficult problems in statistics while debugging.,Confused,Curious
I enjoy exploring new ideas in Ethical Hacking while preparing for interviews however i can teach ethical hacking to my friends while preparing for interviews.,Curious,Confident
I lose confidence every time I study Data Structures while preparing notes.,Frustrated,
I cannot complete my JavaScript assignment while reading textbooks.,Frustrated,
I feel mentally tired because of Azure while preparing notes.,Frustrated,
I postpone studying Flutter because it feels boring while solving assignments.,Bored,
I postpone studying Statistics because it feels boring while solving assignments.,Bored,
I enjoy asking questions about Node.js while completing homework.,Curious,
I am frustrated with MySQL while reading textbooks.,Frustrated,
I get bored reading Artificial Intelligence books while preparing notes even though i keep failing while practicing artificial intelligence while preparing notes.,Bored,Frustrated
I keep getting confused whenever I study Git while attending lectures.,Confused,
I don't enjoy practicing Azure during lab sessions.,Bored,
I am exhausted after practicing C while completing homework.,Frustrated,
I enjoy learning JavaScript while preparing notes.,Curious,
I don't feel excited about Java while solving previous papers even though i cannot differentiate the concepts in java while solving previous papers.,Bored,Confused
I feel comfortable learning Calculus during online classes.,Confident,
I cannot understand the logic behind Data Science while debugging.,Confused,
I am unable to understand Git while writing code and i am interested in advanced git concepts while writing code.,Confused,Curious
I am stressed because of Computer Networks while preparing notes although i enjoy solving advanced computer networks problems while preparing notes.,Frustrated,Confident
I want to build innovative solutions using Algorithms while practicing coding.,Curious,
I get confused every time I practice Java while studying late at night.,Confused,
I get confused every time I practice HTML while preparing notes even though i want to understand every concept of html while preparing notes.,Confused,Curious
